Year,Site,Species,Count,Avg_Length_mm,Avg_RecFin_weight_kg
2003,SEIKU,COPPER ROCKFISH,7,389.2857143,1.172857143
2003,SEIKU,KELP GREENLING,9,373.8888889,0.752222222
2003,SEIKU,LINGCOD,30,717.9333333,4.063
2003,SEIKU,PACIFIC COD,1,740,4.22
2003,SEIKU,TIGER ROCKFISH,1,350,0.82
2003,SEIKU,YELLOWTAIL ROCKFISH,10,340,0.625
2004,NEAH BAY,BLACK ROCKFISH,882,72.35260771,1.205294785
2004,NEAH BAY,BLUE ROCKFISH,170,89.98235294,0.969588235
2004,NEAH BAY,CABEZON,3,709.3333333,6.546666667
2004,NEAH BAY,CANARY ROCKFISH,27,37.88888889,0.979259259
2004,NEAH BAY,CHINA ROCKFISH,198,68.33838384,0.784292929
2004,NEAH BAY,COPPER ROCKFISH,214,82.42523364,1.166121495
2004,NEAH BAY,GREENSTRIPED ROCKFISH,2,387.5,0.785
2004,NEAH BAY,KELP GREENLING,323,95.82352941,0.750309598
2004,NEAH BAY,LINGCOD,497,96.57947686,3.59527163
2004,NEAH BAY,PACIFIC COD,5,653,2.952
2004,NEAH BAY,QUILLBACK ROCKFISH,177,67.99435028,1.017570621
2004,NEAH BAY,SABLEFISH,11,660.1818182,3.118181818
2004,NEAH BAY,SURFPERCH FAMILY,3,370.6666667,1.07
2004,NEAH BAY,TIGER ROCKFISH,12,69,1.236666667
2004,NEAH BAY,VERMILION ROCKFISH,15,49.26666667,2.478666667
2004,NEAH BAY,WIDOW ROCKFISH,1,445,1.45
2004,NEAH BAY,YELLOWEYE ROCKFISH,5,54.8,3.374
2004,NEAH BAY,YELLOWTAIL ROCKFISH,224,81.53125,0.882544643
2005,NEAH BAY,BLACK ROCKFISH,914,82.34573304,1.235514223
2005,NEAH BAY,BLUE ROCKFISH,385,197.4311688,0.98774026
2005,NEAH BAY,CABEZON,134,525.2537313,2.858358209
2005,NEAH BAY,CANARY ROCKFISH,47,79.76595745,0.883829787
2005,NEAH BAY,CHINA ROCKFISH,348,156.7787356,0.808793103
2005,NEAH BAY,COPPER ROCKFISH,392,193.5994898,1.266479592
2005,NEAH BAY,KELP GREENLING,484,200.2128099,0.772190083
2005,NEAH BAY,LINGCOD,722,272.9501385,3.935360111
2005,NEAH BAY,PACIFIC COD,14,701.4285714,3.682142857
2005,NEAH BAY,QUILLBACK ROCKFISH,245,121.1352459,1.075614754
2005,NEAH BAY,RED IRISH LORD,4,353.75,0.885
2005,NEAH BAY,ROCK GREENLING,4,380.75,0.8225
2005,NEAH BAY,ROCK SOLE,2,392.5,0.71
2005,NEAH BAY,TIGER ROCKFISH,17,245.1764706,1.557647059
2005,NEAH BAY,VERMILION ROCKFISH,54,257.7037037,1.976481481
2005,NEAH BAY,WIDOW ROCKFISH,3,377.6666667,0.91
2005,NEAH BAY,YELLOWEYE ROCKFISH,1,56,3.38
2005,NEAH BAY,YELLOWTAIL ROCKFISH,364,174.1401099,0.965714286
2005,SEIKU,LINGCOD,46,76.91304348,4.873478261
2006,NEAH BAY,BLACK ROCKFISH,1225,226.6318367,1.14157551
2006,NEAH BAY,BLUE ROCKFISH,199,318.3467337,0.984723618
2006,NEAH BAY,CABEZON,73,540.1780822,2.961506849
2006,NEAH BAY,CANARY ROCKFISH,15,257.5333333,0.681333333
2006,NEAH BAY,CHINA ROCKFISH,263,284.4220532,0.862053232
2006,NEAH BAY,COPPER ROCKFISH,140,260.7,1.238785714
2006,NEAH BAY,KELP GREENLING,279,248.9892473,0.761290323
2006,NEAH BAY,LINGCOD,401,327.3366584,4.01319202
2006,NEAH BAY,PACIFIC COD,7,687,3.407142857
2006,NEAH BAY,QUILLBACK ROCKFISH,139,254.7697842,0.927985612
2006,NEAH BAY,RED IRISH LORD,1,294,0.45
2006,NEAH BAY,ROCK GREENLING,1,408,1
2006,NEAH BAY,ROCK SOLE,1,440,1
2006,NEAH BAY,SILVERGRAY ROCKFISH,1,581,2.54
2006,NEAH BAY,TIGER ROCKFISH,9,285.6666667,1.333333333
2006,NEAH BAY,VERMILION ROCKFISH,57,382.8421053,2.006491228
2006,NEAH BAY,WIDOW ROCKFISH,1,484,1.93
2006,NEAH BAY,YELLOWEYE ROCKFISH,1,44,1.59
2006,NEAH BAY,YELLOWTAIL ROCKFISH,181,205.2430939,0.895690608
2007,NEAH BAY,BLACK ROCKFISH,887,93.14881623,1.111691094
2007,NEAH BAY,BLUE ROCKFISH,115,93.46956522,1.026695652
2007,NEAH BAY,CABEZON,38,479.9736842,3.108157895
2007,NEAH BAY,CANARY ROCKFISH,10,70.1,0.658
2007,NEAH BAY,CHINA ROCKFISH,180,127.8555556,0.819944444
2007,NEAH BAY,COPPER ROCKFISH,127,133.0944882,1.172125984
2007,NEAH BAY,KELP GREENLING,140,113.9,0.679142857
2007,NEAH BAY,LINGCOD,338,164.1094675,3.925177515
2007,NEAH BAY,QUILLBACK ROCKFISH,136,134.0882353,1.161323529
2007,NEAH BAY,STRIPED SEAPERCH,2,315.5,0.755
2007,NEAH BAY,TIGER ROCKFISH,4,209.25,1.075
2007,NEAH BAY,VERMILION ROCKFISH,69,235.4202899,1.849565217
2007,NEAH BAY,YELLOWTAIL ROCKFISH,76,145.75,1.033157895
2007,SEIKU,LINGCOD,69,71.37681159,3.851594203
2008,NEAH BAY,BLACK ROCKFISH,827,86.13301088,1.131172914
2008,NEAH BAY,BLUE ROCKFISH,89,154.8651685,1.020561798
2008,NEAH BAY,CABEZON,21,526.6190476,2.997619048
2008,NEAH BAY,CANARY ROCKFISH,12,80.41666667,0.6275
2008,NEAH BAY,CHINA ROCKFISH,127,157.4094488,0.738582677
2008,NEAH BAY,COPPER ROCKFISH,83,111.0361446,1.171204819
2008,NEAH BAY,FLATFISH ORDER,2,314,0.355
2008,NEAH BAY,KELP GREENLING,145,148.8275862,0.72
2008,NEAH BAY,LINGCOD,226,128.9778761,3.357212389
2008,NEAH BAY,PACIFIC SANDDAB,1,440,0.87
2008,NEAH BAY,QUILLBACK ROCKFISH,81,126.5185185,1.088024691
2008,NEAH BAY,RED IRISH LORD,8,350.375,0.9025
2008,NEAH BAY,ROUGHEYE ROCKFISH,1,510,1.94
2008,NEAH BAY,STARRY FLOUNDER,1,359,0.69
2008,NEAH BAY,TIGER ROCKFISH,12,137.3333333,1.003333333
2008,NEAH BAY,VERMILION ROCKFISH,38,152,1.806052632
2008,NEAH BAY,YELLOWEYE ROCKFISH,9,149.8888889,2.35
2008,NEAH BAY,YELLOWTAIL ROCKFISH,60,179.8666667,0.794666667
2008,SEIKU,LINGCOD,35,67.65714286,3.232
2009,NEAH BAY,BLACK ROCKFISH,846,164.4692671,1.118392435
2009,NEAH BAY,BLUE ROCKFISH,65,180.3230769,1.059384615
2009,NEAH BAY,CABEZON,31,502.4516129,2.426451613
2009,NEAH BAY,CANARY ROCKFISH,13,169.9230769,0.873846154
2009,NEAH BAY,CHINA ROCKFISH,82,250.8292683,0.752560976
2009,NEAH BAY,COPPER ROCKFISH,63,120.6507937,1.121904762
2009,NEAH BAY,KELP GREENLING,126,230.4047619,0.68484127
2009,NEAH BAY,LINGCOD,231,176.952381,3.676017316
2009,NEAH BAY,QUILLBACK ROCKFISH,50,167.86,0.7782
2009,NEAH BAY,RED IRISH LORD,4,382,1.115
2009,NEAH BAY,TIGER ROCKFISH,10,242,1.057
2009,NEAH BAY,VERMILION ROCKFISH,16,212.6875,1.660625
2009,NEAH BAY,YELLOWTAIL ROCKFISH,81,243.1604938,0.89962963
2009,SEIKU,LINGCOD,18,68.27777778,3.315555556
2010,NEAH BAY,BLACK ROCKFISH,983,134.3387589,1.123601221
2010,NEAH BAY,BLUE ROCKFISH,64,88.546875,0.89296875
2010,NEAH BAY,CABEZON,5,499.8,2.274
2010,NEAH BAY,CANARY ROCKFISH,12,59.58333333,0.6825
2010,NEAH BAY,CHINA ROCKFISH,34,137.1176471,0.758823529
2010,NEAH BAY,COPPER ROCKFISH,33,143.4545455,1.452121212
2010,NEAH BAY,KELP GREENLING,93,151.0215054,0.679462366
2010,NEAH BAY,LINGCOD,235,233.7914894,3.619829787
2010,NEAH BAY,QUILLBACK ROCKFISH,9,147,1.214444444
2010,NEAH BAY,SURFPERCH FAMILY,1,300,0.51
2010,NEAH BAY,TIGER ROCKFISH,3,154,1.006666667
2010,NEAH BAY,VERMILION ROCKFISH,9,293.3333333,1.511111111
2010,NEAH BAY,YELLOWEYE ROCKFISH,1,68,6.22
2010,NEAH BAY,YELLOWTAIL ROCKFISH,22,105.0454545,0.663636364
2011,NEAH BAY,BLACK ROCKFISH,917,174.1788441,1.176543075
2011,NEAH BAY,BLUE ROCKFISH,88,175.8863636,0.902840909
2011,NEAH BAY,BROWN ROCKFISH,1,410,1.22
2011,NEAH BAY,CABEZON,28,519.7142857,3.971071429
2011,NEAH BAY,CANARY ROCKFISH,8,335.25,0.96875
2011,NEAH BAY,CHINA ROCKFISH,111,196.5405405,0.877297297
2011,NEAH BAY,COPPER ROCKFISH,97,297.4536082,1.649484536
2011,NEAH BAY,GREENLING GENUS,4,340.5,#DIV/0!
2011,NEAH BAY,GREENSTRIPED ROCKFISH,2,195,0.585
2011,NEAH BAY,KELP GREENLING,73,117.1780822,11.55246575
2011,NEAH BAY,LINGCOD,257,279.0661479,3.910155642
2011,NEAH BAY,QUILLBACK ROCKFISH,46,130.0217391,1.301521739
2011,NEAH BAY,RED IRISH LORD,1,389,1.17
2011,NEAH BAY,TIGER ROCKFISH,8,257.375,1.13
2011,NEAH BAY,VERMILION ROCKFISH,33,324.4242424,1.806969697
2011,NEAH BAY,YELLOWEYE ROCKFISH,2,54.5,3.845
2011,NEAH BAY,YELLOWTAIL ROCKFISH,56,223.2321429,0.799107143
2012,NEAH BAY,BLACK ROCKFISH,593,100.5632378,1.077099494
2012,NEAH BAY,BLUE ROCKFISH,24,132.0833333,0.9375
2012,NEAH BAY,CABEZON,1,590,3.73
2012,NEAH BAY,CANARY ROCKFISH,7,41.28571429,1.288571429
2012,NEAH BAY,CHINA ROCKFISH,44,167.7954545,0.843181818
2012,NEAH BAY,COPPER ROCKFISH,69,231.8405797,1.51942029
2012,NEAH BAY,GREENLING GENUS,3,396.6666667,#DIV/0!
2012,NEAH BAY,KELP GREENLING,38,170.7894737,0.703421053
2012,NEAH BAY,LINGCOD,152,156.1513158,3.771184211
2012,NEAH BAY,QUILLBACK ROCKFISH,23,170.173913,1.282173913
2012,NEAH BAY,TIGER ROCKFISH,2,230,1.34
2012,NEAH BAY,VERMILION ROCKFISH,52,340.5576923,2.144615385
2012,NEAH BAY,WIDOW ROCKFISH,3,303.6666667,0.403333333
2012,NEAH BAY,YELLOWEYE ROCKFISH,3,45,1.803333333
2012,NEAH BAY,YELLOWTAIL ROCKFISH,6,146,0.973333333
2013,NEAH BAY,BLACK ROCKFISH,735,189.0503401,1.112816327
2013,NEAH BAY,BLUE ROCKFISH,62,248.1935484,0.974677419
2013,NEAH BAY,CABEZON,15,577.4666667,3.678
2013,NEAH BAY,CANARY ROCKFISH,6,360.8333333,0.826666667
2013,NEAH BAY,CHINA ROCKFISH,132,315.8409091,0.840530303
2013,NEAH BAY,COPPER ROCKFISH,60,367.2,1.623833333
2013,NEAH BAY,DUSKY ROCKFISH,1,510,#DIV/0!
2013,NEAH BAY,GREENLING GENUS,5,407.2,#DIV/0!
2013,NEAH BAY,KELP GREENLING,57,304.9824561,0.688947368
2013,NEAH BAY,LINGCOD,203,296.4926108,3.498965517
2013,NEAH BAY,QUILLBACK ROCKFISH,56,321.5,1.084107143
2013,NEAH BAY,RED IRISH LORD,2,355,0.875
2013,NEAH BAY,TIGER ROCKFISH,5,369,0.978
2013,NEAH BAY,VERMILION ROCKFISH,47,415.1914894,1.978510638
2013,NEAH BAY,WIDOW ROCKFISH,8,401.25,1.08375
2013,NEAH BAY,YELLOWTAIL ROCKFISH,44,360,0.755454545
2014,NEAH BAY,BLACK ROCKFISH,474,40.6371308,1.17092827
2014,NEAH BAY,BLUE ROCKFISH,68,38,1.002647059
2014,NEAH BAY,BOCACCIO,10,71.8,4.84
2014,NEAH BAY,CABEZON,73,55.76712329,3.267260274
2014,NEAH BAY,CANARY ROCKFISH,4,37.25,0.8975
2014,NEAH BAY,CHINA ROCKFISH,293,34.52559727,0.866962457
2014,NEAH BAY,COPPER ROCKFISH,113,43.6460177,1.661415929
2014,NEAH BAY,KELP GREENLING,122,36.98360656,0.738442623
2014,NEAH BAY,LINGCOD,229,68.05676856,3.389781659
2014,NEAH BAY,QUILLBACK ROCKFISH,65,39.47692308,1.326307692
2014,NEAH BAY,TIGER ROCKFISH,13,38.15384615,1.083846154
2014,NEAH BAY,VERMILION ROCKFISH,59,42.37288136,1.522542373
2014,NEAH BAY,YELLOWTAIL ROCKFISH,46,35.06521739,0.688913043
2015,NEAH BAY,BLACK ROCKFISH,526,40.79467681,1.179125475
2015,NEAH BAY,BLUE ROCKFISH,193,36.88601036,0.922072539
2015,NEAH BAY,BOCACCIO,1,58,2.37
2015,NEAH BAY,CABEZON,45,55.44444444,3.246444444
2015,NEAH BAY,CANARY ROCKFISH,5,39.2,1.078
2015,NEAH BAY,CHINA ROCKFISH,221,34.22171946,0.840723982
2015,NEAH BAY,COPPER ROCKFISH,70,43.28571429,1.621142857
2015,NEAH BAY,KELP GREENLING,108,37.61111111,0.767685185
2015,NEAH BAY,LINGCOD,242,67.70247934,3.372438017
2015,NEAH BAY,QUILLBACK ROCKFISH,51,39.58823529,1.304117647
2015,NEAH BAY,RED IRISH LORD,4,36.25,0.9275
2015,NEAH BAY,REDSTRIPE ROCKFISH,2,34.5,0.585
2015,NEAH BAY,STARRY FLOUNDER,1,42,1.08
2015,NEAH BAY,TIGER ROCKFISH,8,35.625,0.89375
2015,NEAH BAY,VERMILION ROCKFISH,139,44.71223022,1.796546763
2015,NEAH BAY,WIDOW ROCKFISH,2,33,0.535
2015,NEAH BAY,YELLOWEYE ROCKFISH,2,42.5,1.54
2015,NEAH BAY,YELLOWTAIL ROCKFISH,117,35.60683761,0.758888889
2016,NEAH BAY,BLACK ROCKFISH,556,40.31654676,1.142535971
2016,NEAH BAY,BLUE ROCKFISH,1,42,1.34
2016,NEAH BAY,BOCACCIO,4,69.5,4.495
2016,NEAH BAY,BROWN ROCKFISH,3,38.66666667,1.046666667
2016,NEAH BAY,CABEZON,144,55.38194444,3.224861111
2016,NEAH BAY,CANARY ROCKFISH,4,37.75,0.94
2016,NEAH BAY,CHINA ROCKFISH,187,34.18716578,0.837005348
2016,NEAH BAY,COPPER ROCKFISH,127,42.12598425,1.51496063
2016,NEAH BAY,DEACON ROCKFISH,267,37.68913858,0.990674157
2016,NEAH BAY,KELP GREENLING,246,36.17479675,0.687317073
2016,NEAH BAY,LINGCOD,392,67.53061224,3.386530612
2016,NEAH BAY,QUILLBACK ROCKFISH,85,38.03529412,1.18
2016,NEAH BAY,REDSTRIPE ROCKFISH,2,34.5,0.585
2016,NEAH BAY,SILVERGRAY ROCKFISH,2,53,1.96
2016,NEAH BAY,TIGER ROCKFISH,11,39.27272727,1.229090909
2016,NEAH BAY,VERMILION ROCKFISH,87,45.26436782,1.832758621
2016,NEAH BAY,WIDOW ROCKFISH,4,36.5,0.8175
2016,NEAH BAY,YELLOWTAIL ROCKFISH,114,36.52631579,0.825438596
2017,NEAH BAY,BLACK ROCKFISH,723,39.94052559,1.112586445
2017,NEAH BAY,BLUE ROCKFISH,143,38.62237762,1.059440559
2017,NEAH BAY,BOCACCIO,2,74,5.205
2017,NEAH BAY,CABEZON,176,53.03977273,2.830852273
2017,NEAH BAY,CANARY ROCKFISH,9,36.55555556,0.868888889
2017,NEAH BAY,CHINA ROCKFISH,232,34.60344828,0.877241379
2017,NEAH BAY,COPPER ROCKFISH,158,42.48734177,1.57
2017,NEAH BAY,DEACON ROCKFISH,133,37.71969697,0.990984848
2017,NEAH BAY,GREENSTRIPED ROCKFISH,1,34,0.52
2017,NEAH BAY,KELP GREENLING,232,37.25862069,0.75
2017,NEAH BAY,LINGCOD,533,67.92307692,3.495609756
2017,NEAH BAY,NOT KNOWN,1,42,#DIV/0!
2017,NEAH BAY,QUILLBACK ROCKFISH,75,38.76,1.272933333
2017,NEAH BAY,RED IRISH LORD,7,41.42857143,1.502857143
2017,NEAH BAY,SILVERGRAY ROCKFISH,1,58,2.53
2017,NEAH BAY,TIGER ROCKFISH,22,37.63636364,1.068636364
2017,NEAH BAY,VERMILION ROCKFISH,142,45.38028169,1.877464789
2017,NEAH BAY,WIDOW ROCKFISH,12,38.83333333,0.955833333
2017,NEAH BAY,YELLOWEYE ROCKFISH,3,47.66666667,2.443333333
2017,NEAH BAY,YELLOWTAIL ROCKFISH,181,39.33149171,1.011823204
2018,NEAH BAY,ARROWTOOTH FLOUNDER,3,62.33333333,#DIV/0!
2018,NEAH BAY,BLACK ROCKFISH,1024,40.05962854,1.123958944
2018,NEAH BAY,BLUE ROCKFISH,51,38.05882353,1.021372549
2018,NEAH BAY,BOCACCIO,12,69.08333333,4.51
2018,NEAH BAY,CABEZON,276,53.65217391,3.015543478
2018,NEAH BAY,CANARY ROCKFISH,275,36.87636364,0.948072727
2018,NEAH BAY,CHINA ROCKFISH,258,34.67829457,0.88120155
2018,NEAH BAY,COPPER ROCKFISH,258,41.98837209,1.521511628
2018,NEAH BAY,DEACON ROCKFISH,90,37.36666667,0.969333333
2018,NEAH BAY,GREENSTRIPED ROCKFISH,2,35,0.57
2018,NEAH BAY,JACK MACKEREL,4,49,1.38
2018,NEAH BAY,KELP GREENLING,308,37.43648208,0.761074919
2018,NEAH BAY,LINGCOD,647,67.75734158,3.457032457
2018,NEAH BAY,PACIFIC COD,41,67.58536585,3.345853659
2018,NEAH BAY,PETRALE SOLE,20,47.1,1.3715
2018,NEAH BAY,QUILLBACK ROCKFISH,115,39.03478261,1.294
2018,NEAH BAY,RED IRISH LORD,23,40.13043478,1.373913043
2018,NEAH BAY,ROCK SOLE,5,44,1.038
2018,NEAH BAY,SABLEFISH,91,45.20879121,1.059230769
2018,NEAH BAY,SILVERGRAY ROCKFISH,6,61.66666667,3.026666667
2018,NEAH BAY,STARRY FLOUNDER,1,37,0.75
2018,NEAH BAY,STRIPED SEAPERCH,1,32,0.78
2018,NEAH BAY,TIGER ROCKFISH,24,37.875,1.076666667
2018,NEAH BAY,VERMILION ROCKFISH,193,44.3626943,1.739170984
2018,NEAH BAY,WIDOW ROCKFISH,22,44.40909091,1.519090909
2018,NEAH BAY,YELLOWEYE ROCKFISH,7,42.14285714,1.551428571
2018,NEAH BAY,YELLOWTAIL ROCKFISH,182,41.88950276,1.244861878
2019,NEAH BAY,BLACK ROCKFISH,1066,40.6782364,1.186097561
2019,NEAH BAY,BLUE ROCKFISH,157,36.49681529,0.927961783
2019,NEAH BAY,BOCACCIO,83,68.44578313,4.129759036
2019,NEAH BAY,CABEZON,453,52.48785872,2.767306843
2019,NEAH BAY,CANARY ROCKFISH,801,40.56265664,1.292681704
2019,NEAH BAY,CHINA ROCKFISH,344,34.13662791,0.843459302
2019,NEAH BAY,COPPER ROCKFISH,394,40.93401015,1.410761421
2019,NEAH BAY,DEACON ROCKFISH,167,36.16969697,0.907454545
2019,NEAH BAY,GREENSTRIPED ROCKFISH,6,37,0.68
2019,NEAH BAY,JACK MACKEREL,13,50,1.458461538
2019,NEAH BAY,KELP GREENLING,324,37.04012346,0.736296296
2019,NEAH BAY,LINGCOD,833,66.62184874,3.359183673
2019,NEAH BAY,NOT KNOWN,14,30.85714286,#DIV/0!
2019,NEAH BAY,PACIFIC COD,7,64,3
2019,NEAH BAY,PETRALE SOLE,4,47,1.315
2019,NEAH BAY,QUILLBACK ROCKFISH,207,39.53623188,1.322753623
2019,NEAH BAY,RED IRISH LORD,19,39.89473684,1.311578947
2019,NEAH BAY,REDBANDED ROCKFISH,8,44.75,#DIV/0!
2019,NEAH BAY,REDSTRIPE ROCKFISH,1,35,0.61
2019,NEAH BAY,ROCK SOLE,6,41.66666667,0.875
2019,NEAH BAY,ROSETHORN ROCKFISH,1,29,0.42
2019,NEAH BAY,SABLEFISH,136,49.35294118,1.358235294
2019,NEAH BAY,SILVERGRAY ROCKFISH,12,55,2.203333333
2019,NEAH BAY,STARRY FLOUNDER,2,48.5,1.66
2019,NEAH BAY,STRIPED SEAPERCH,1,33,0.86
2019,NEAH BAY,TIGER ROCKFISH,51,38.70588235,1.160588235
2019,NEAH BAY,VERMILION ROCKFISH,235,45.52340426,1.85893617
2019,NEAH BAY,WIDOW ROCKFISH,7,42.85714286,1.372857143
2019,NEAH BAY,YELLOWEYE ROCKFISH,15,45.46666667,1.894
2019,NEAH BAY,YELLOWTAIL ROCKFISH,392,40.18112245,1.117602041
2020,NEAH BAY,BLACK ROCKFISH,12,39.66666667,1.0825
2020,NEAH BAY,BLUE ROCKFISH,2,33,0.64
2020,NEAH BAY,CABEZON,1,50,2.25
2020,NEAH BAY,KELP GREENLING,1,39,0.85
2020,NEAH BAY,VERMILION ROCKFISH,2,46,1.83
2020,SEIKU,ARROWTOOTH FLOUNDER,5,64.6,#DIV/0!
2020,SEIKU,BLACK ROCKFISH,585,40.60683761,1.174940171
2020,SEIKU,CABEZON,119,53.39495798,2.92907563
2020,SEIKU,CANARY ROCKFISH,50,36.56,0.9008
2020,SEIKU,CHINA ROCKFISH,83,33.79518072,0.809879518
2020,SEIKU,COPPER ROCKFISH,68,38.94117647,1.193676471
2020,SEIKU,DEACON ROCKFISH,173,34.9017341,0.81
2020,SEIKU,KELP GREENLING,107,36.71028037,0.716542056
2020,SEIKU,LINGCOD,428,64.23831776,2.990560748
2020,SEIKU,NOT KNOWN,23,31.69565217,#DIV/0!
2020,SEIKU,PACIFIC COD,10,67.9,3.547
2020,SEIKU,PACIFIC OCEAN PERCH,1,22,#DIV/0!
2020,SEIKU,PETRALE SOLE,2,52,1.78
2020,SEIKU,QUILLBACK ROCKFISH,37,36.89189189,1.087567568
2020,SEIKU,RED IRISH LORD,3,41.33333333,1.443333333
2020,SEIKU,ROCK SOLE,6,39,0.683333333
2020,SEIKU,SABLEFISH,20,55.15,1.887
2020,SEIKU,TIGER ROCKFISH,8,37.125,1.0075
2020,SEIKU,VERMILION ROCKFISH,18,43.33333333,1.607222222
2020,SEIKU,WIDOW ROCKFISH,7,39.85714286,1.071428571
2020,SEIKU,YELLOWEYE ROCKFISH,7,49.42857143,2.837142857
2020,SEIKU,YELLOWTAIL ROCKFISH,143,38.60839161,0.946293706
2021,NEAH BAY,BLACK ROCKFISH,101,41.52475248,1.252574257
2021,NEAH BAY,BLUE ROCKFISH,24,32.08333333,0.6
2021,NEAH BAY,CABEZON,22,54.27272727,3.052272727
2021,NEAH BAY,CANARY ROCKFISH,38,37.76315789,0.980263158
2021,NEAH BAY,CHINA ROCKFISH,16,35.5,0.953125
2021,NEAH BAY,COPPER ROCKFISH,36,40.75,1.378611111
2021,NEAH BAY,KELP GREENLING,19,37.05263158,0.745263158
2021,NEAH BAY,LINGCOD,83,65.87951807,3.403855422
2021,NEAH BAY,QUILLBACK ROCKFISH,10,38.6,1.234
2021,NEAH BAY,SABLEFISH,1,58,2.13
2021,NEAH BAY,TIGER ROCKFISH,3,43,1.566666667
2021,NEAH BAY,VERMILION ROCKFISH,7,50.14285714,2.45
