Location,Year,Site ,Transect,Direction,Black and Deacon Rockfish,Cabezon,Canary Rockfish,China Rockfish,Copper Rockfish,Greenling,Lingcod,Quillback Rockfish,Tiger Rockfish,Widow Rockfish,Wolfeel,Yellowtail Rockfish,YOY,Vermillion Rockfish,Halibut,Yelloweye Rockfish,Puget Sound Rockfish
Neah Bay,2007,Site 2 ,T1,F,31,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Neah Bay,2007,Site 2,T2,F,30,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
Neah Bay,2007,Site 2,T3,F,33,0,0,0,0,0,5,0,0,4,0,0,1,0,0,0,0
Neah Bay,2007,Site 2,T4,F,31,0,0,0,0,0,4,1,0,34,0,0,0,0,0,0,0
Neah Bay,2007,Site 3,T1,F,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2007,Site 3,T2,F,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2007,Site 3,T3,F,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0
Neah Bay,2007,Site 3,T4,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2007,Site 4,T1,F,10,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2007,Site 4,T2,F,33,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
Neah Bay,2007,Site 4,T3,F,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2007,Site 4,T4,F,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2008,Site 1,T1,F,5,0,0,0,0,0,3,0,2,40,0,0,0,0,0,0,0
Neah Bay,2008,Site 1,T2,F,3,0,0,0,0,0,3,0,0,6,0,2,0,0,0,0,0
Neah Bay,2008,Site 1,T3,F,16,0,0,0,0,0,2,0,0,50,0,1,0,0,0,0,0
Neah Bay,2008,Site 1,T4,F,3,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0
Neah Bay,2008,Site 2 ,T1,F,25,0,0,0,0,0,7,0,2,30,0,3,0,0,0,0,0
Neah Bay,2008,Site 2 ,T2,F,56,0,0,0,2,0,0,0,0,37,0,2,0,0,0,0,0
Neah Bay,2008,Site 2 ,T3,F,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Neah Bay,2008,Site 2 ,T4,F,15,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
Neah Bay,2008,Site 3,T1,F,19,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
Neah Bay,2008,Site 3,T2,F,11,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0
Neah Bay,2008,Site 3,T3,F,9,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0
Neah Bay,2008,Site 4,T1,F,5,0,0,0,0,0,4,0,0,0,0,4,348,0,0,0,0
Neah Bay,2008,Site 4,T2,F,8,0,0,0,1,0,8,0,0,0,0,5,149,0,0,0,0
Neah Bay,2008,Site 4,T3,F,8,0,0,0,0,0,6,0,0,0,0,0,60,0,0,0,0
Neah Bay,2009,Site 1,T1,F,12,0,0,5,0,4,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2009,Site 1,T2,F,193,0,0,3,0,5,0,0,0,0,0,2,1,0,0,0,0
Neah Bay,2009,Site 1,T3,F,23,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0
Neah Bay,2009,Site 1,T4,F,43,0,0,9,0,4,0,0,0,0,0,0,4,0,0,0,0
Neah Bay,2009,Site 2 ,T1,F,40,0,0,9,1,5,1,0,0,0,0,5,4,0,0,0,0
Neah Bay,2009,Site 2 ,T2,F,47,0,0,2,1,4,0,0,1,0,1,7,4,0,0,0,0
Neah Bay,2009,Site 2 ,T3,F,26,0,0,8,0,5,1,0,0,0,0,0,30,0,0,0,0
Neah Bay,2009,Site 2 ,T4,F,22,0,0,8,0,9,1,0,0,0,0,0,20,0,0,0,0
Neah Bay,2009,Site 3,T1,F,31,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2009,Site 3,T2,F,78,0,0,5,0,5,1,0,0,0,0,2,0,0,0,0,0
Neah Bay,2009,Site 3,T3,F,50,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0
Neah Bay,2009,Site 3,T4,F,43,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2009,Site 4,T1,F,130,0,0,6,0,4,0,1,0,0,0,6,30,0,0,1,0
Neah Bay,2009,Site 4,T2,F,101,0,0,3,0,7,0,3,0,0,0,3,68,0,0,1,0
Neah Bay,2009,Site 4,T3,F,51,0,0,2,0,7,0,1,0,0,0,1,100,0,0,1,0
Neah Bay,2009,Site 4,T4,F,43,0,0,3,0,1,1,1,1,0,0,0,129,0,0,1,0
Neah Bay,2010,Site 1,T1,F,47,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 1,T2,F,3,0,0,10,0,10,0,0,0,0,0,1,5,0,0,0,0
Neah Bay,2010,Site 1,T3,F,1,0,0,4,0,8,0,1,1,0,0,0,5,0,0,0,0
Neah Bay,2010,Site 2 ,T1,F,9,1,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 2 ,T2,F,13,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 2 ,T3,F,113,0,0,5,0,5,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2010,Site 2 ,T4,F,37,0,0,6,0,11,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 3,T1,F,104,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 3,T2,F,62,0,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 3,T3,F,10,0,0,2,0,5,1,0,0,0,0,0,10,0,0,0,0
Neah Bay,2010,Site 3,T4,F,7,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 4,T1,F,19,0,0,8,0,6,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 4,T2,F,12,0,0,4,0,2,2,0,0,0,0,1,0,0,0,0,0
Neah Bay,2010,Site 4,T3,F,46,0,0,3,0,3,0,0,1,0,0,2,2,0,0,0,0
Neah Bay,2010,Site 5,T1,F,9,0,0,2,0,10,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2011,Site 1,T1,F,2,0,0,8,0,4,0,0,0,0,0,0,20,0,0,0,0
Neah Bay,2011,Site 1,T2,F,9,0,0,4,1,5,0,0,1,0,0,1,32,0,0,0,0
Neah Bay,2011,Site 1,T3,F,18,0,0,4,0,2,0,0,0,0,1,0,40,0,0,0,0
Neah Bay,2011,Site 1,T4,F,21,0,0,7,1,7,0,0,0,0,1,1,4,0,0,0,0
Neah Bay,2011,Site 2 ,T1,F,38,0,0,8,0,9,1,0,0,0,0,1,0,0,0,0,0
Neah Bay,2011,Site 2 ,T2,F,6,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2011,Site 2 ,T3,F,7,0,0,6,2,5,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2011,Site 3,T1,F,32,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2011,Site 3,T2,F,12,0,0,4,0,7,0,0,0,0,0,0,120,0,0,0,0
Neah Bay,2011,Site 3,T3,F,46,0,0,2,0,4,0,0,0,0,0,0,100,0,0,0,0
Neah Bay,2011,Site 4,T1,F,134,0,1,0,0,7,1,0,0,0,0,0,170,0,0,0,0
Neah Bay,2011,Site 4,T2,F,67,0,1,0,0,2,0,0,0,0,0,2,100,0,0,0,0
Neah Bay,2011,Site 4,T3,F,45,0,3,2,1,5,1,1,1,0,0,2,160,0,0,0,0
Neah Bay,2011,Site 5,T1,F,6,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2011,Site 5,T2,F,4,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2011,Site 5,T3,F,12,0,0,0,0,9,1,0,0,0,0,5,0,0,0,0,0
Neah Bay,2011,Site 5,T4,F,8,1,0,0,0,15,1,1,0,0,0,2,0,0,0,0,0
Neah Bay,2012,Site 1,T1,F,15,0,0,0,0,2,0,0,0,0,0,1,105,0,0,0,0
Neah Bay,2012,Site 1,T2,F,18,0,0,2,0,6,1,0,0,0,0,1,141,0,0,0,0
Neah Bay,2012,Site 1,T3,F,12,0,0,4,0,7,0,0,0,0,0,1,40,0,0,0,0
Neah Bay,2012,Site 2 ,T1,F,24,0,0,9,0,5,2,0,2,0,0,1,50,0,0,0,0
Neah Bay,2012,Site 2 ,T2,F,46,0,0,1,0,5,2,0,2,0,0,0,50,0,0,0,0
Neah Bay,2012,Site 2 ,T3,F,12,0,0,2,0,4,4,0,0,0,0,0,70,0,0,0,0
Neah Bay,2012,Site 3,T1,F,12,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2012,Site 3,T2,F,13,0,0,3,1,3,0,0,0,0,0,0,20,0,0,0,0
Neah Bay,2012,Site 3,T3,F,11,0,0,2,0,5,0,0,0,0,0,0,200,0,0,0,0
Neah Bay,2012,Site 4,T1,F,129,0,0,1,0,4,1,0,0,0,0,5,281,0,0,0,0
Neah Bay,2012,Site 4,T2,F,95,0,0,1,0,4,1,0,1,0,0,3,200,0,0,0,0
Neah Bay,2012,Site 4,T3,F,42,0,0,3,0,4,1,0,1,0,0,2,0,0,0,0,0
Neah Bay,2012,Site 5,T1,F,38,0,0,3,1,6,2,0,0,0,0,0,0,0,0,0,0
Neah Bay,2012,Site 5,T2,F,20,0,0,2,0,9,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2012,Site 5,T3,F,31,0,0,3,0,10,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2013,Site 1,T1,F,6,0,0,4,1,6,0,0,0,0,0,1,400,0,0,0,0
Neah Bay,2013,Site 1,T2,F,17,0,1,1,0,3,0,0,0,0,0,0,650,0,0,1,0
Neah Bay,2013,Site 1,T3,F,6,0,0,4,0,5,0,0,0,0,0,2,500,0,0,0,0
Neah Bay,2013,Site 1,T4,F,8,0,0,6,1,6,0,0,0,0,0,0,350,0,0,0,0
Neah Bay,2013,Site 2 ,T1,F,6,0,0,2,1,2,0,0,0,0,0,0,120,0,0,0,0
Neah Bay,2013,Site 2 ,T2,F,14,0,0,1,0,2,0,0,1,0,0,0,100,0,0,0,0
Neah Bay,2013,Site 2 ,T3,F,29,0,0,4,0,3,0,0,0,0,0,1,510,0,0,0,0
Neah Bay,2013,Site 2 ,T4,F,7,0,0,2,0,0,0,0,0,0,0,0,500,0,0,0,0
Neah Bay,2013,Site 3,T1,F,20,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2013,Site 3,T2,F,21,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2013,Site 3,T3,F,13,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2013,Site 3,T4,F,9,0,0,1,0,6,1,0,0,0,0,0,150,0,0,0,0
Neah Bay,2013,Site 4,T1,F,91,0,1,2,2,2,1,0,0,0,0,2,250,0,0,0,0
Neah Bay,2013,Site 4,T2,F,17,0,0,0,0,3,2,0,0,0,0,2,390,0,0,0,0
Neah Bay,2013,Site 4,T3,F,24,0,1,4,2,0,6,0,0,0,0,2,960,0,0,0,0
Neah Bay,2013,Site 5,T1,F,10,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2013,Site 5,T2,F,10,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2013,Site 5,T3,F,4,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2014,Site 1,T1,F,88,0,1,5,2,7,5,0,1,0,0,2,10,0,0,0,0
Neah Bay,2014,Site 1,T2,F,109,0,1,7,1,11,1,1,1,0,0,2,0,0,0,0,0
Neah Bay,2014,Site 1,T3,F,16,0,0,7,1,14,1,0,1,0,0,0,0,0,0,0,0
Neah Bay,2014,Site 1,T4,F,13,0,0,11,0,7,3,0,0,0,0,0,0,1,0,0,0
Neah Bay,2014,Site 2 ,T1,F,45,0,0,6,2,6,1,0,3,0,0,2,0,1,0,0,0
Neah Bay,2014,Site 2 ,T2,F,34,0,0,3,0,5,2,0,2,0,0,1,0,0,0,0,0
Neah Bay,2014,Site 2 ,T3,F,20,0,0,3,0,7,1,0,2,0,0,2,0,0,0,0,0
Neah Bay,2014,Site 3,T1,F,23,0,0,7,3,13,4,0,0,0,0,0,0,0,0,1,0
Neah Bay,2014,Site 3,T2,F,34,0,0,6,1,9,2,0,0,0,0,1,0,0,0,0,0
Neah Bay,2014,Site 3,T3,F,21,0,0,4,0,10,1,1,0,0,0,0,2,0,0,0,0
Neah Bay,2014,Site 3,T4,F,14,0,0,4,2,13,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2014,Site 4,T1,F,37,0,4,4,4,13,4,1,1,0,0,0,0,0,0,0,0
Neah Bay,2014,Site 4,T2,F,43,0,10,4,5,8,1,0,0,0,0,1,0,0,0,0,0
Neah Bay,2014,Site 4,T3,F,12,0,7,4,3,12,5,0,1,0,0,0,2,0,0,0,0
Neah Bay,2014,Site 4,T4,F,51,0,4,2,3,9,2,0,0,0,0,2,0,0,0,0,0
Neah Bay,2014,Site 5,T1,F,61,3,0,2,0,21,3,0,0,0,0,0,0,0,0,0,0
Neah Bay,2014,Site 5,T2,F,82,0,0,4,1,19,2,0,0,0,0,0,0,0,0,0,0
Neah Bay,2015,Site 1,T1,F,16,0,6,7,0,6,1,2,0,0,0,2,160,0,0,1,0
Neah Bay,2015,Site 1,T2,F,12,0,1,8,1,3,1,0,0,0,0,2,105,0,0,2,0
Neah Bay,2015,Site 2 ,T1,F,10,1,0,7,1,8,1,5,0,0,0,0,10,1,0,0,0
Neah Bay,2015,Site 2 ,T2,F,8,0,0,2,1,9,0,3,1,0,0,5,10,1,0,0,0
Neah Bay,2015,Site 3,T1,F,9,1,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2015,Site 3,T2,F,1,0,0,3,0,6,0,0,0,0,0,0,1,0,0,1,0
Neah Bay,2015,Site 4,T1,F,14,0,7,4,0,6,1,0,0,0,0,16,65,0,0,0,0
Neah Bay,2015,Site 4,T2,F,8,0,6,2,0,4,2,0,1,0,0,26,60,0,0,0,0
Neah Bay,2015,Site 5,T1,F,61,3,0,2,0,21,3,0,0,0,0,0,0,0,0,0,0
Neah Bay,2015,Site 5,T2,F,82,0,0,4,1,19,2,0,0,0,0,0,0,0,0,0,0
Neah Bay,2016,Site 1,T1,F,14,0,0,4,1,4,1,0,0,0,0,3,1950,0,0,1,0
Neah Bay,2016,Site 1,T2,F,21,0,1,9,0,4,0,1,0,0,0,0,1250,0,0,0,0
Neah Bay,2016,Site 1,T3,F,22,0,0,8,2,9,4,0,0,0,0,1,1070,0,0,1,0
Neah Bay,2016,Site 1,T4,F,64,0,1,4,0,4,1,1,0,0,0,1,300,0,0,0,0
Neah Bay,2016,Site 2 ,T1,F,62,0,2,3,0,5,2,1,0,0,0,2,1150,1,0,0,0
Neah Bay,2016,Site 2 ,T2,F,52,0,0,8,1,2,2,0,0,0,0,0,1200,0,0,0,0
Neah Bay,2016,Site 2 ,T3,F,98,0,0,3,0,3,0,0,1,0,0,1,1300,0,0,1,0
Neah Bay,2016,Site 2 ,T4,F,96,0,0,4,1,3,0,0,2,0,0,2,1090,0,0,0,0
Neah Bay,2016,Site 3,T1,F,22,0,14,6,0,4,0,0,0,0,0,4,160,0,0,0,0
Neah Bay,2016,Site 3,T2,F,5,0,19,4,1,4,1,0,0,0,0,2,280,1,0,0,0
Neah Bay,2016,Site 3,T3,F,24,0,20,3,0,4,1,0,0,0,0,12,180,0,0,0,0
Neah Bay,2016,Site 3,T4,F,30,0,7,7,1,2,0,0,0,0,0,21,420,0,0,1,0
Neah Bay,2016,Site 5,T1,F,49,0,0,1,0,20,3,1,1,0,0,0,1150,0,0,0,0
Neah Bay,2016,Site 5,T2,F,80,0,0,1,0,20,0,2,0,0,0,0,1050,0,0,0,0
Neah Bay,2016,Site 5,T3,F,71,0,0,0,1,17,2,1,0,0,0,0,1000,0,0,0,0
Neah Bay,2016,Site 5,T4,F,80,0,0,2,0,19,1,1,1,0,0,0,1360,0,0,0,0
Neah Bay,2017,Site 1,T1,F,110,0,4,10,0,7,2,2,0,0,0,3,30,0,0,0,0
Neah Bay,2017,Site 1,T2,F,74,0,7,11,0,3,0,3,0,0,0,1,20,0,0,0,0
Neah Bay,2017,Site 2 ,T1,F,67,0,0,6,0,5,0,0,1,0,0,1,0,0,0,0,0
Neah Bay,2017,Site 2 ,T2,F,44,0,1,4,0,2,0,0,1,0,0,0,20,0,0,0,0
Neah Bay,2017,Site 3,T1,F,88,0,0,1,1,6,1,1,0,0,0,2,10,0,0,0,0
Neah Bay,2017,Site 3,T2,F,80,0,2,3,3,8,1,3,0,0,0,2,0,0,0,0,0
Neah Bay,2017,Site 4,T1,F,46,0,9,6,2,7,0,0,0,0,0,1,0,0,1,1,0
Neah Bay,2017,Site 5,T1,F,28,0,0,6,0,15,3,0,0,0,0,0,0,0,0,0,0
Neah Bay,2017,Site 5,T2,F,19,0,0,5,0,14,3,2,0,0,0,0,20,0,0,0,0
Neah Bay,2018,Site 1,T1,F,17,0,0,7,0,6,1,1,0,0,0,5,0,1,0,0,0
Neah Bay,2018,Site 1,T2,F,28,0,0,4,0,5,0,0,0,0,0,4,0,0,0,0,3
Neah Bay,2018,Site 1,T3,F,16,0,0,8,1,6,0,1,1,0,0,2,2,0,0,0,5
Neah Bay,2018,Site 1,T4,F,6,0,0,7,1,6,0,2,0,0,0,0,0,0,0,0,0
Neah Bay,2018,Site 2 ,T1,F,135,0,0,9,1,1,0,0,1,0,0,1,0,1,0,0,0
Neah Bay,2018,Site 2 ,T2,F,45,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0
Neah Bay,2018,Site 2 ,T3,F,48,0,0,4,0,4,1,0,0,0,0,3,0,1,0,0,0
Neah Bay,2018,Site 2 ,T4,F,132,0,0,4,2,1,0,0,1,0,0,1,0,0,0,0,0
Neah Bay,2018,Site 3,T1,F,11,0,3,6,0,2,0,0,0,0,0,1,50,0,0,0,0
Neah Bay,2018,Site 3,T2,F,5,0,1,5,0,3,0,1,0,0,0,3,40,0,0,0,0
Neah Bay,2018,Site 4,T1,F,47,0,6,4,0,0,2,0,0,0,0,0,150,0,0,0,0
Neah Bay,2018,Site 4,T2,F,27,0,9,4,3,0,2,0,1,0,0,2,150,1,0,0,0
Neah Bay,2018,Site 4,T3,F,47,0,3,5,1,2,1,1,1,0,0,7,0,1,0,0,0
Neah Bay,2018,Site 4,T4,F,193,0,1,4,1,1,1,0,0,0,0,3,0,1,0,0,0
Neah Bay,2018,Site 5,T1,F,10,0,0,5,0,17,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2018,Site 5,T2,F,34,0,0,3,1,4,1,3,0,1,0,0,0,0,0,0,0
Neah Bay,2018,Site 5,T3,F,9,0,0,4,0,8,1,1,0,0,0,0,0,0,0,0,0
Neah Bay,2018,Site 5,T4,F,7,0,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 1,T1,F,1,0,1,14,1,6,2,0,0,0,0,0,10,1,0,0,0
Neah Bay,2019,Site 1,T2,F,13,0,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 1,T3,F,16,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 2 ,T1,F,31,0,0,3,1,3,1,0,0,0,0,0,0,1,0,0,0
Neah Bay,2019,Site 2 ,T2,F,22,0,0,2,1,3,0,1,0,0,0,0,0,2,0,0,0
Neah Bay,2019,Site 2 ,T3,F,31,0,0,3,0,6,3,2,1,0,0,0,0,1,0,0,0
Neah Bay,2019,Site 2 ,T4,F,113,0,0,5,0,3,0,0,1,0,0,2,0,0,0,0,0
Neah Bay,2019,Site 3,T1,F,101,0,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 3,T2,F,91,0,0,3,1,3,1,1,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 3,T3,F,145,0,0,4,2,4,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2019,Site 3,T4,F,94,0,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 4,T1,F,73,0,5,3,1,1,0,1,1,0,0,6,20,1,0,1,0
Neah Bay,2019,Site 4,T2,F,53,0,5,8,2,3,0,0,2,0,0,5,0,0,0,0,0
Neah Bay,2019,Site 4,T3,F,112,0,2,3,0,4,1,0,0,0,0,15,20,0,0,0,0
Neah Bay,2019,Site 4,T4,F,160,0,0,5,0,1,1,0,0,0,0,17,0,0,0,0,0
Neah Bay,2019,Site 5,T1,F,29,1,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 5,T2,F,45,4,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 5,T3,F,30,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2021,Site 1,T1 ,F,73,0,0,14,1,3,0,0,1,0,0,10,8,0,0,0,0
Neah Bay,2021,Site 1,T2,F,70,0,0,14,1,3,0,0,1,0,0,8,0,0,0,0,0
Neah Bay,2021,Site 2,T1,F,78,0,0,4,1,4,0,0,2,0,0,0,0,0,0,0,0
Neah Bay,2021,Site 3,T1,F,36,0,0,5,1,4,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2021,Site 3,T2,F,26,0,0,9,0,4,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2021,Site 4,T1,F,24,0,2,13,2,6,1,0,1,0,0,12,181,0,0,0,0
