Location,Year,Site ,Transect,Direction,Black,Cabezon,Canary,China,Copper,Greenling,Lingcod,Quillback,Tiger,Widow,Wolfeel,Yellowtail,YOY,Vermillion,Halibut,Yelloweye,Puget_Sound
Neah Bay,2009,Site 3,T4,Forward,43,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2009,Site 4,T1,Forward,130,0,0,6,0,4,0,1,0,0,0,6,30,0,0,1,0
Neah Bay,2009,Site 4,T2,Forward,101,0,0,3,0,7,0,3,0,0,0,3,68,0,0,1,0
Neah Bay,2009,Site 4,T3,Forward,51,0,0,2,0,7,0,1,0,0,0,1,100,0,0,1,0
Neah Bay,2009,Site 4,T4,Forward,43,0,0,3,0,1,1,1,1,0,0,0,129,0,0,1,0
Neah Bay,2010,Site 1,T1,Forward,47,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 1,T2,Forward,3,0,0,10,0,10,0,0,0,0,0,1,5,0,0,0,0
Neah Bay,2010,Site 1,T3,Forward,1,0,0,4,0,8,0,1,1,0,0,0,5,0,0,0,0
Neah Bay,2010,Site 2 ,T1,Forward,9,1,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 2 ,T2,Forward,13,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 2 ,T3,Forward,113,0,0,5,0,5,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2010,Site 2 ,T4,Forward,37,0,0,6,0,11,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 3,T1,Forward,104,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 3,T2,Forward,62,0,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 3,T3,Forward,10,0,0,2,0,5,1,0,0,0,0,0,10,0,0,0,0
Neah Bay,2010,Site 3,T4,Forward,7,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 4,T1,Forward,19,0,0,8,0,6,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2010,Site 4,T2,Forward,12,0,0,4,0,2,2,0,0,0,0,1,0,0,0,0,0
Neah Bay,2010,Site 4,T3,Forward,46,0,0,3,0,3,0,0,1,0,0,2,2,0,0,0,0
Neah Bay,2010,Site 5,T1,Forward,9,0,0,2,0,10,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2011,Site 1,T1,Forward,2,0,0,8,0,4,0,0,0,0,0,0,20,0,0,0,0
Neah Bay,2011,Site 1,T2,Forward,9,0,0,4,1,5,0,0,1,0,0,1,32,0,0,0,0
Neah Bay,2011,Site 1,T3,Forward,18,0,0,4,0,2,0,0,0,0,1,0,40,0,0,0,0
Neah Bay,2011,Site 1,T4,Forward,21,0,0,7,1,7,0,0,0,0,1,1,4,0,0,0,0
Neah Bay,2011,Site 2 ,T1,Forward,38,0,0,8,0,9,1,0,0,0,0,1,0,0,0,0,0
Neah Bay,2011,Site 2 ,T2,Forward,6,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2011,Site 2 ,T3,Forward,7,0,0,6,2,5,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2011,Site 3,T1,Forward,32,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2011,Site 3,T2,Forward,12,0,0,4,0,7,0,0,0,0,0,0,120,0,0,0,0
Neah Bay,2011,Site 3,T3,Forward,46,0,0,2,0,4,0,0,0,0,0,0,100,0,0,0,0
Neah Bay,2011,Site 4,T1,Forward,134,0,1,0,0,7,1,0,0,0,0,0,170,0,0,0,0
Neah Bay,2011,Site 4,T2,Forward,67,0,1,0,0,2,0,0,0,0,0,2,100,0,0,0,0
Neah Bay,2011,Site 4,T3,Forward,45,0,3,2,1,5,1,1,1,0,0,2,160,0,0,0,0
Neah Bay,2011,Site 5,T1,Forward,6,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2011,Site 5,T2,Forward,4,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2011,Site 5,T3,Forward,12,0,0,0,0,9,1,0,0,0,0,5,0,0,0,0,0
Neah Bay,2011,Site 5,T4,Forward,8,1,0,0,0,15,1,1,0,0,0,2,0,0,0,0,0
Neah Bay,2012,Site 1,T1,Forward,15,0,0,0,0,2,0,0,0,0,0,1,105,0,0,0,0
Neah Bay,2012,Site 1,T2,Forward,18,0,0,2,0,6,1,0,0,0,0,1,141,0,0,0,0
Neah Bay,2012,Site 1,T3,Forward,12,0,0,4,0,7,0,0,0,0,0,1,40,0,0,0,0
Neah Bay,2012,Site 2 ,T1,Forward,24,0,0,9,0,5,2,0,2,0,0,1,50,0,0,0,0
Neah Bay,2012,Site 2 ,T2,Forward,46,0,0,1,0,5,2,0,2,0,0,0,50,0,0,0,0
Neah Bay,2012,Site 2 ,T3,Forward,12,0,0,2,0,4,4,0,0,0,0,0,70,0,0,0,0
Neah Bay,2012,Site 3,T1,Forward,12,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2012,Site 3,T2,Forward,13,0,0,3,1,3,0,0,0,0,0,0,20,0,0,0,0
Neah Bay,2012,Site 3,T3,Forward,11,0,0,2,0,5,0,0,0,0,0,0,200,0,0,0,0
Neah Bay,2012,Site 4,T1,Forward,129,0,0,1,0,4,1,0,0,0,0,5,281,0,0,0,0
Neah Bay,2012,Site 4,T2,Forward,95,0,0,1,0,4,1,0,1,0,0,3,200,0,0,0,0
Neah Bay,2012,Site 4,T3,Forward,42,0,0,3,0,4,1,0,1,0,0,2,0,0,0,0,0
Neah Bay,2012,Site 5,T1,Forward,38,0,0,3,1,6,2,0,0,0,0,0,0,0,0,0,0
Neah Bay,2012,Site 5,T2,Forward,20,0,0,2,0,9,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2012,Site 5,T3,Forward,31,0,0,3,0,10,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2013,Site 1,T1,Forward,6,0,0,4,1,6,0,0,0,0,0,1,400,0,0,0,0
Neah Bay,2013,Site 1,T2,Forward,17,0,1,1,0,3,0,0,0,0,0,0,650,0,0,1,0
Neah Bay,2013,Site 1,T3,Forward,6,0,0,4,0,5,0,0,0,0,0,2,500,0,0,0,0
Neah Bay,2013,Site 1,T4,Forward,8,0,0,6,1,6,0,0,0,0,0,0,350,0,0,0,0
Neah Bay,2013,Site 2 ,T1,Forward,6,0,0,2,1,2,0,0,0,0,0,0,120,0,0,0,0
Neah Bay,2013,Site 2 ,T2,Forward,14,0,0,1,0,2,0,0,1,0,0,0,100,0,0,0,0
Neah Bay,2013,Site 2 ,T3,Forward,29,0,0,4,0,3,0,0,0,0,0,1,510,0,0,0,0
Neah Bay,2013,Site 2 ,T4,Forward,7,0,0,2,0,0,0,0,0,0,0,0,500,0,0,0,0
Neah Bay,2013,Site 3,T1,Forward,20,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2013,Site 3,T2,Forward,21,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2013,Site 3,T3,Forward,13,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2013,Site 3,T4,Forward,9,0,0,1,0,6,1,0,0,0,0,0,150,0,0,0,0
Neah Bay,2013,Site 4,T1,Forward,91,0,1,2,2,2,1,0,0,0,0,2,250,0,0,0,0
Neah Bay,2013,Site 4,T2,Forward,17,0,0,0,0,3,2,0,0,0,0,2,390,0,0,0,0
Neah Bay,2013,Site 4,T3,Forward,24,0,1,4,2,0,6,0,0,0,0,2,960,0,0,0,0
Neah Bay,2013,Site 5,T1,Forward,10,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2013,Site 5,T2,Forward,10,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2013,Site 5,T3,Forward,4,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2014,Site 1,T1,Forward,88,0,1,5,2,7,5,0,1,0,0,2,10,0,0,0,0
Neah Bay,2014,Site 1,T2,Forward,109,0,1,7,1,11,1,1,1,0,0,2,0,0,0,0,0
Neah Bay,2014,Site 1,T3,Forward,16,0,0,7,1,14,1,0,1,0,0,0,0,0,0,0,0
Neah Bay,2014,Site 1,T4,Forward,13,0,0,11,0,7,3,0,0,0,0,0,0,1,0,0,0
Neah Bay,2014,Site 2 ,T1,Forward,45,0,0,6,2,6,1,0,3,0,0,2,0,1,0,0,0
Neah Bay,2014,Site 2 ,T2,Forward,34,0,0,3,0,5,2,0,2,0,0,1,0,0,0,0,0
Neah Bay,2014,Site 2 ,T3,Forward,20,0,0,3,0,7,1,0,2,0,0,2,0,0,0,0,0
Neah Bay,2014,Site 3,T1,Forward,23,0,0,7,3,13,4,0,0,0,0,0,0,0,0,1,0
Neah Bay,2014,Site 3,T2,Forward,34,0,0,6,1,9,2,0,0,0,0,1,0,0,0,0,0
Neah Bay,2014,Site 3,T3,Forward,21,0,0,4,0,10,1,1,0,0,0,0,2,0,0,0,0
Neah Bay,2014,Site 3,T4,Forward,14,0,0,4,2,13,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2014,Site 4,T1,Forward,37,0,4,4,4,13,4,1,1,0,0,0,0,0,0,0,0
Neah Bay,2014,Site 4,T2,Forward,43,0,10,4,5,8,1,0,0,0,0,1,0,0,0,0,0
Neah Bay,2014,Site 4,T3,Forward,12,0,7,4,3,12,5,0,1,0,0,0,2,0,0,0,0
Neah Bay,2014,Site 4,T4,Forward,51,0,4,2,3,9,2,0,0,0,0,2,0,0,0,0,0
Neah Bay,2014,Site 5,T1,Forward,61,3,0,2,0,21,3,0,0,0,0,0,0,0,0,0,0
Neah Bay,2014,Site 5,T2,Forward,82,0,0,4,1,19,2,0,0,0,0,0,0,0,0,0,0
Neah Bay,2015,Site 1,T1,Forward,16,0,6,7,0,6,1,2,0,0,0,2,160,0,0,1,0
Neah Bay,2015,Site 1,T2,Forward,12,0,1,8,1,3,1,0,0,0,0,2,105,0,0,2,0
Neah Bay,2015,Site 2 ,T1,Forward,10,1,0,7,1,8,1,5,0,0,0,0,10,1,0,0,0
Neah Bay,2015,Site 2 ,T2,Forward,8,0,0,2,1,9,0,3,1,0,0,5,10,1,0,0,0
Neah Bay,2015,Site 3,T1,Forward,9,1,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2015,Site 3,T2,Forward,1,0,0,3,0,6,0,0,0,0,0,0,1,0,0,1,0
Neah Bay,2015,Site 4,T1,Forward,14,0,7,4,0,6,1,0,0,0,0,16,65,0,0,0,0
Neah Bay,2015,Site 4,T2,Forward,8,0,6,2,0,4,2,0,1,0,0,26,60,0,0,0,0
Neah Bay,2015,Site 5,T1,Forward,61,3,0,2,0,21,3,0,0,0,0,0,0,0,0,0,0
Neah Bay,2015,Site 5,T2,Forward,82,0,0,4,1,19,2,0,0,0,0,0,0,0,0,0,0
Neah Bay,2016,Site 1,T1,Forward,14,0,0,4,1,4,1,0,0,0,0,3,1950,0,0,1,0
Neah Bay,2016,Site 1,T2,Forward,21,0,1,9,0,4,0,1,0,0,0,0,1250,0,0,0,0
Neah Bay,2016,Site 1,T3,Forward,22,0,0,8,2,9,4,0,0,0,0,1,1070,0,0,1,0
Neah Bay,2016,Site 1,T4,Forward,64,0,1,4,0,4,1,1,0,0,0,1,300,0,0,0,0
Neah Bay,2016,Site 2 ,T1,Forward,62,0,2,3,0,5,2,1,0,0,0,2,1150,1,0,0,0
Neah Bay,2016,Site 2 ,T2,Forward,52,0,0,8,1,2,2,0,0,0,0,0,1200,0,0,0,0
Neah Bay,2016,Site 2 ,T3,Forward,98,0,0,3,0,3,0,0,1,0,0,1,1300,0,0,1,0
Neah Bay,2016,Site 2 ,T4,Forward,96,0,0,4,1,3,0,0,2,0,0,2,1090,0,0,0,0
Neah Bay,2016,Site 3,T1,Forward,22,0,14,6,0,4,0,0,0,0,0,4,160,0,0,0,0
Neah Bay,2016,Site 3,T2,Forward,5,0,19,4,1,4,1,0,0,0,0,2,280,1,0,0,0
Neah Bay,2016,Site 3,T3,Forward,24,0,20,3,0,4,1,0,0,0,0,12,180,0,0,0,0
Neah Bay,2016,Site 3,T4,Forward,30,0,7,7,1,2,0,0,0,0,0,21,420,0,0,1,0
Neah Bay,2016,Site 5,T1,Forward,49,0,0,1,0,20,3,1,1,0,0,0,1150,0,0,0,0
Neah Bay,2016,Site 5,T2,Forward,80,0,0,1,0,20,0,2,0,0,0,0,1050,0,0,0,0
Neah Bay,2016,Site 5,T3,Forward,71,0,0,0,1,17,2,1,0,0,0,0,1000,0,0,0,0
Neah Bay,2016,Site 5,T4,Forward,80,0,0,2,0,19,1,1,1,0,0,0,1360,0,0,0,0
Neah Bay,2017,Site 1,T1,Forward,110,0,4,10,0,7,2,2,0,0,0,3,30,0,0,0,0
Neah Bay,2017,Site 1,T2,Forward,74,0,7,11,0,3,0,3,0,0,0,1,20,0,0,0,0
Neah Bay,2017,Site 2 ,T1,Forward,67,0,0,6,0,5,0,0,1,0,0,1,0,0,0,0,0
Neah Bay,2017,Site 2 ,T2,Forward,44,0,1,4,0,2,0,0,1,0,0,0,20,0,0,0,0
Neah Bay,2017,Site 3,T1,Forward,88,0,0,1,1,6,1,1,0,0,0,2,10,0,0,0,0
Neah Bay,2017,Site 3,T2,Forward,80,0,2,3,3,8,1,3,0,0,0,2,0,0,0,0,0
Neah Bay,2017,Site 4,T1,Forward,46,0,9,6,2,7,0,0,0,0,0,1,0,0,1,1,0
Neah Bay,2017,Site 5,T1,Forward,28,0,0,6,0,15,3,0,0,0,0,0,0,0,0,0,0
Neah Bay,2017,Site 5,T2,Forward,19,0,0,5,0,14,3,2,0,0,0,0,20,0,0,0,0
Neah Bay,2018,Site 1,T1,Forward,17,0,0,7,0,6,1,1,0,0,0,5,0,1,0,0,0
Neah Bay,2018,Site 1,T2,Forward,28,0,0,4,0,5,0,0,0,0,0,4,0,0,0,0,3
Neah Bay,2018,Site 1,T3,Forward,16,0,0,8,1,6,0,1,1,0,0,2,2,0,0,0,5
Neah Bay,2018,Site 1,T4,Forward,6,0,0,7,1,6,0,2,0,0,0,0,0,0,0,0,0
Neah Bay,2018,Site 2 ,T1,Forward,135,0,0,9,1,1,0,0,1,0,0,1,0,1,0,0,0
Neah Bay,2018,Site 2 ,T2,Forward,45,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0
Neah Bay,2018,Site 2 ,T3,Forward,48,0,0,4,0,4,1,0,0,0,0,3,0,1,0,0,0
Neah Bay,2018,Site 2 ,T4,Forward,132,0,0,4,2,1,0,0,1,0,0,1,0,0,0,0,0
Neah Bay,2018,Site 3,T1,Forward,11,0,3,6,0,2,0,0,0,0,0,1,50,0,0,0,0
Neah Bay,2018,Site 3,T2,Forward,5,0,1,5,0,3,0,1,0,0,0,3,40,0,0,0,0
Neah Bay,2018,Site 4,T1,Forward,47,0,6,4,0,0,2,0,0,0,0,0,150,0,0,0,0
Neah Bay,2018,Site 4,T2,Forward,27,0,9,4,3,0,2,0,1,0,0,2,150,1,0,0,0
Neah Bay,2018,Site 4,T3,Forward,47,0,3,5,1,2,1,1,1,0,0,7,0,1,0,0,0
Neah Bay,2018,Site 4,T4,Forward,193,0,1,4,1,1,1,0,0,0,0,3,0,1,0,0,0
Neah Bay,2018,Site 5,T1,Forward,10,0,0,5,0,17,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2018,Site 5,T2,Forward,34,0,0,3,1,4,1,3,0,1,0,0,0,0,0,0,0
Neah Bay,2018,Site 5,T3,Forward,9,0,0,4,0,8,1,1,0,0,0,0,0,0,0,0,0
Neah Bay,2018,Site 5,T4,Forward,7,0,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 1,T1,Forward,1,0,1,14,1,6,2,0,0,0,0,0,10,1,0,0,0
Neah Bay,2019,Site 1,T2,Forward,13,0,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 1,T3,Forward,16,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 2 ,T1,Forward,31,0,0,3,1,3,1,0,0,0,0,0,0,1,0,0,0
Neah Bay,2019,Site 2 ,T2,Forward,22,0,0,2,1,3,0,1,0,0,0,0,0,2,0,0,0
Neah Bay,2019,Site 2 ,T3,Forward,31,0,0,3,0,6,3,2,1,0,0,0,0,1,0,0,0
Neah Bay,2019,Site 2 ,T4,Forward,113,0,0,5,0,3,0,0,1,0,0,2,0,0,0,0,0
Neah Bay,2019,Site 3,T1,Forward,101,0,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 3,T2,Forward,91,0,0,3,1,3,1,1,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 3,T3,Forward,145,0,0,4,2,4,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2019,Site 3,T4,Forward,94,0,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 4,T1,Forward,73,0,5,3,1,1,0,1,1,0,0,6,20,1,0,1,0
Neah Bay,2019,Site 4,T2,Forward,53,0,5,8,2,3,0,0,2,0,0,5,0,0,0,0,0
Neah Bay,2019,Site 4,T3,Forward,112,0,2,3,0,4,1,0,0,0,0,15,20,0,0,0,0
Neah Bay,2019,Site 4,T4,Forward,160,0,0,5,0,1,1,0,0,0,0,17,0,0,0,0,0
Neah Bay,2019,Site 5,T1,Forward,29,1,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 5,T2,Forward,45,4,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2019,Site 5,T3,Forward,30,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2021,Site 1,T1 ,Forward,73,0,0,14,1,3,0,0,1,0,0,10,8,0,0,0,0
Neah Bay,2021,Site 1,T2,Forward,70,0,0,14,1,3,0,0,1,0,0,8,0,0,0,0,0
Neah Bay,2021,Site 2,T1,Forward,78,0,0,4,1,4,0,0,2,0,0,0,0,0,0,0,0
Neah Bay,2021,Site 3,T1,Forward,36,0,0,5,1,4,0,1,0,0,0,0,0,0,0,0,0
Neah Bay,2021,Site 3,T2,Forward,26,0,0,9,0,4,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2021,Site 4,T1,Forward,24,0,2,13,2,6,1,0,1,0,0,12,181,0,0,0,0
Neah Bay,2022,Site 1,T1,Forward,4,0,0,13,0,3,2,0,0,0,0,1,2,0,0,0,0
Neah Bay,2022,Site 2,T1,Forward,48,1,0,14,0,6,1,3,3,0,0,0,0,0,0,0,0
Neah Bay,2022,Site 3,T1,Forward,6,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2022,Site 4,T1,Forward,11,0,1,2,2,1,1,1,0,0,0,6,201,0,0,0,0
Neah Bay,2022,Site 5,T1,Forward,22,0,0,8,1,15,1,2,0,0,0,0,0,0,0,0,0
Neah Bay,2023,Site 1,T1,Forward,196,0,0,16,0,5,2,2,4,0,0,3,90,0,0,0,0
Neah Bay,2023,Site 2,T1,Forward,111,0,0,11,1,4,2,7,3,0,0,0,2,0,0,0,0
Neah Bay,2023,Site 3,T1,Forward,309,0,0,14,1,9,2,3,1,0,0,5,4,0,0,0,0
Neah Bay,2023,Site 4,T1,Forward,14,0,2,7,0,2,2,0,2,0,0,24,25,0,0,0,0
Neah Bay,2023,Site 5,T1,Forward,33,0,0,6,1,14,1,1,0,0,0,0,17,0,0,0,0
