record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
75,  TN395,"September 29, 2021",10:11:06,"September 29, 2021",3:11:06, 48 23.84 N, 124 26.03 W,48.40,124.43,123,4,2,122.38,121.31,7.77,,2,,33.64,33.64,2,,26.24,,2.24,2.33,2.29,2,,,,,,,,,7.61,,,,22.30,,,,,,,2.20,,,,,,,,,,,,,
76,  TN395,"September 29, 2021",10:11:13,"September 29, 2021",3:11:13, 48 23.84 N, 124 26.03 W,48.40,124.43,123,5,2,122.14,121.07,7.78,,2,,33.64,33.64,2,,26.24,,2.27,2.38,2.33,2,,,,,,,,,7.61,,,,22.30,32.59,0.22,0.33,2.57,41.03,2,2.19,,,,,,,,,,,,,
77,  TN395,"September 29, 2021",10:14:25,"September 29, 2021",3:14:25, 48 23.84 N, 124 26.03 W,48.40,124.43,123,6,2,81.64,80.93,8.73,,2,,32.95,32.95,2,,25.55,,3.16,3.33,3.24,2,,,,,,,,,7.67,,,,22.30,31.65,0.33,0.30,2.45,38.41,2,2.49,,,,,,,,,,,,,
78,  TN395,"September 29, 2021",10:17:23,"September 29, 2021",3:17:23, 48 23.84 N, 124 26.03 W,48.40,124.43,123,7,2,50.40,49.97,9.67,,2,,32.38,32.38,2,,24.96,,4.57,4.84,4.71,2,,,,,,,,,7.75,,,,22.30,26.98,0.34,0.92,2.23,34.73,2,3.49,0.57,0.56,0.56,2,0.36,0.55,0.46,2,,,,,
79,  TN395,"September 29, 2021",10:20:22,"September 29, 2021",3:20:22, 48 23.84 N, 124 26.03 W,48.40,124.43,123,8,2,30.42,30.16,9.72,,2,,32.15,32.15,2,,24.77,,4.64,4.92,4.78,2,,,,,,,,,7.75,,,,22.30,27.48,0.34,0.70,2.24,35.89,2,4.05,1.09,,1.09,2,0.68,,0.68,2,,,,,
80,  TN395,"September 29, 2021",10:23:00,"September 29, 2021",3:23:00, 48 23.84 N, 124 26.03 W,48.40,124.43,123,9,2,20.55,20.38,9.79,,2,,32.08,32.08,2,,24.70,,4.72,4.99,4.86,2,,,,,,,,,7.76,,,,22.30,27.18,0.36,0.52,2.20,35.33,2,4.56,1.98,,1.98,2,0.56,,0.56,2,,,,,
81,  TN395,"September 29, 2021",10:24:41,"September 29, 2021",3:24:41, 48 23.84 N, 124 26.03 W,48.40,124.43,123,10,2,10.32,10.23,10.23,,2,,31.77,31.77,2,,24.39,,6.08,6.58,6.33,2,,,,,,,,,7.82,,,,22.30,25.53,0.36,0.53,2.10,33.95,2,7.99,3.03,3.06,3.05,2,0.63,0.84,0.74,2,,,,,
82,  TN395,"September 29, 2021",10:26:54,"September 29, 2021",3:26:54, 48 23.84 N, 124 26.03 W,48.40,124.43,123,11,2,5.24,5.20,10.34,,2,,31.73,31.73,2,,24.34,,6.70,7.06,6.88,2,,,,,,,,,7.88,,,,22.30,23.44,0.37,0.49,1.95,32.47,2,7.42,3.10,3.01,3.05,2,1.11,0.75,0.93,2,,,,,
83,  TN395,"September 29, 2021",10:28:36,"September 29, 2021",3:28:36, 48 23.84 N, 124 26.03 W,48.40,124.43,123,12,2,2.97,2.95,10.33,,2,,31.73,31.73,2,,24.34,,6.69,7.07,6.88,2,,,,,,,,,7.88,,,,22.30,23.45,0.37,0.54,1.95,32.44,2,8.34,2.78,2.74,2.76,2,0.69,0.63,0.66,2,,,,,
84,  TN395,"September 29, 2021",7:26:00,"September 29, 2021",0:26:00, 48 27.96 N, 124 46.84 W,48.47,124.78,120,1,2,278.18,275.65,7.20,,2,,33.94,33.94,2,,26.56,,1.65,1.70,1.68,2,,1.75,,,1.75,,2,,7.57,,,,22.30,36.11,0.06,0.04,2.67,45.78,2,2.08,,,,,,,,,,,,,
85,  TN395,"September 29, 2021",7:30:23,"September 29, 2021",0:30:23, 48 27.96 N, 124 46.84 W,48.47,124.78,120,2,2,228.92,226.87,7.34,,2,,33.89,33.90,2,,26.50,,1.53,1.58,1.55,2,,,,,,,,,7.55,,,,22.30,,,,,,,2.03,,,,,,,,,,,,,
86,  TN395,"September 29, 2021",7:34:32,"September 29, 2021",0:34:32, 48 27.96 N, 124 46.84 W,48.47,124.78,120,3,2,172.65,171.12,7.49,,2,,33.80,33.80,2,,26.41,,1.90,1.97,1.94,2,,2.03,,,2.03,,2,,7.58,,,,22.30,34.74,0.17,0.14,2.64,41.97,2,2.10,,,,,,,,,,,,,
87,  TN395,"September 29, 2021",7:38:03,"September 29, 2021",0:38:03, 48 27.96 N, 124 46.84 W,48.47,124.78,120,4,2,121.31,120.25,7.84,,2,,33.58,33.59,2,,26.19,,2.93,3.08,3.01,2,,,,,,,,,7.64,,,,22.30,31.04,0.21,0.16,2.40,36.39,2,2.33,,,,,,,,,,,,,
88,  TN395,"September 29, 2021",7:38:11,"September 29, 2021",0:38:11, 48 27.96 N, 124 46.84 W,48.47,124.78,120,5,2,121.84,120.77,7.84,,2,,33.58,33.58,2,,26.18,,2.94,3.09,3.02,2,,3.12,,,3.12,,2,,7.64,,,,22.30,,,,,,,2.27,,,,,,,,,,,,,
89,  TN395,"September 29, 2021",7:41:20,"September 29, 2021",0:41:20, 48 27.96 N, 124 46.84 W,48.47,124.78,120,6,2,81.40,80.70,8.49,,2,,33.26,33.26,2,,25.83,,3.56,3.75,3.66,2,,3.77,,,3.77,,2,,7.69,,,,22.30,28.74,0.32,0.62,2.31,34.82,2,2.73,,,,,,,,,,,,,
90,  TN395,"September 29, 2021",7:44:07,"September 29, 2021",0:44:07, 48 27.96 N, 124 46.84 W,48.47,124.78,120,7,2,51.44,51.00,11.49,,2,,32.47,32.47,2,,24.72,,6.93,7.34,7.14,2,,7.69,,,7.69,,2,,7.96,,,,22.30,14.21,0.46,1.74,1.48,19.06,2,6.15,1.60,1.51,1.55,2,0.92,0.87,0.90,2,,,,,
91,  TN395,"September 29, 2021",7:46:55,"September 29, 2021",0:46:55, 48 27.96 N, 124 46.84 W,48.47,124.78,120,8,2,29.68,29.42,11.72,,2,,32.47,32.47,2,,24.67,,7.03,7.45,7.24,2,,8.05,,,8.05,,2,,7.99,,,,22.30,12.76,0.45,1.87,1.40,16.98,2,7.04,1.75,2.06,1.91,2,0.95,0.99,0.97,2,,,,,
92,  TN395,"September 29, 2021",7:48:56,"September 29, 2021",0:48:56, 48 27.96 N, 124 46.84 W,48.47,124.78,120,9,2,21.11,20.93,12.13,,2,,32.47,32.47,2,,24.60,,7.28,7.72,7.50,2,,7.39,,,7.39,,2,,8.04,,,,22.30,9.65,0.45,2.32,1.22,12.95,2,6.70,2.00,1.92,1.96,2,1.29,1.31,1.30,2,,,,,
93,  TN395,"September 29, 2021",7:50:53,"September 29, 2021",0:50:53, 48 27.96 N, 124 46.84 W,48.47,124.78,120,10,2,10.77,10.68,12.24,,2,,32.35,32.35,2,,24.49,,7.63,8.11,7.87,2,,8.70,,,8.70,,2,,8.05,,,,22.30,10.25,0.42,1.67,1.21,13.25,2,9.23,3.00,3.21,3.11,2,1.32,1.43,1.37,2,,,,,
94,  TN395,"September 29, 2021",7:53:17,"September 29, 2021",0:53:17, 48 27.96 N, 124 46.84 W,48.47,124.78,120,11,2,5.28,5.23,12.26,,2,,32.34,32.35,2,,24.48,,7.66,8.14,7.90,2,,8.14,,,8.14,,2,,8.06,,,,22.30,10.17,0.42,1.72,1.21,13.31,2,10.15,3.13,2.98,3.05,2,1.34,1.33,1.34,2,,,,,
95,  TN395,"September 29, 2021",7:55:11,"September 29, 2021",0:55:11, 48 27.96 N, 124 46.84 W,48.47,124.78,120,12,2,3.24,3.21,12.27,,2,,32.34,32.34,2,,24.48,,7.67,8.13,7.90,2,,8.46,8.27,,8.36,,2,,8.06,,,,22.30,10.10,0.41,1.68,1.20,13.22,2,9.80,3.11,2.89,3.00,2,1.38,1.44,1.41,2,,,,,
96,  TN395,"September 29, 2021",13:28:51,"September 29, 2021",6:28:51, 48 16.30 N, 123 59.27 W,48.27,123.99,132,1,2,177.10,175.53,7.40,,2,,33.86,33.86,2,,26.47,,1.77,1.84,1.81,2,,1.91,1.92,,1.92,,2,,7.61,,,,22.30,35.36,0.16,0.02,2.57,44.17,2,2.12,,,,,,,,,,,,,
97,  TN395,"September 29, 2021",13:31:23,"September 29, 2021",6:31:23, 48 16.30 N, 123 59.27 W,48.27,123.99,132,2,2,151.30,149.97,7.43,,2,,33.85,33.85,2,,26.45,,1.81,1.88,1.84,2,,1.93,,,1.93,,2,,7.61,,,,22.30,35.24,0.16,0.00,2.56,43.53,2,2.15,,,,,,,,,,,,,
98,  TN395,"September 29, 2021",13:31:29,"September 29, 2021",6:31:29, 48 16.30 N, 123 59.27 W,48.27,123.99,132,3,2,151.63,150.30,7.43,,2,,33.85,33.85,2,,26.45,,1.81,1.88,1.84,2,,,,,,,,,7.61,,,,22.30,,,,,,,2.19,,,,,,,,,,,,,
99,  TN395,"September 29, 2021",13:34:22,"September 29, 2021",6:34:22, 48 16.30 N, 123 59.27 W,48.27,123.99,132,4,2,120.59,119.54,7.58,,2,,33.76,33.76,2,,26.36,,2.08,2.16,2.12,2,,,,,,,,,7.62,,,,22.30,,,,,,,2.20,,,,,,,,,,,,,
100,  TN395,"September 29, 2021",13:34:28,"September 29, 2021",6:34:28, 48 16.30 N, 123 59.27 W,48.27,123.99,132,5,2,122.23,121.17,7.58,,2,,33.76,33.76,2,,26.36,,2.08,2.16,2.12,2,,2.21,,,2.21,,2,,7.62,,,,22.30,34.35,0.08,0.00,2.52,42.24,2,2.24,,,,,,,,,,,,,
101,  TN395,"September 29, 2021",13:37:03,"September 29, 2021",6:37:03, 48 16.30 N, 123 59.27 W,48.27,123.99,132,6,2,80.83,80.13,8.18,,2,,33.36,33.36,2,,25.96,,2.61,2.74,2.67,2,,2.78,,,2.78,,2,,7.64,,,,22.30,33.68,0.13,0.00,2.46,39.84,2,2.31,,,,,,,,,,,,,
102,  TN395,"September 29, 2021",13:39:48,"September 29, 2021",6:39:48, 48 16.30 N, 123 59.27 W,48.27,123.99,132,7,2,50.36,49.93,8.93,,2,,32.88,32.88,2,,25.47,,3.66,3.87,3.76,2,,3.97,,,3.97,,2,,7.70,,,,22.30,30.23,0.34,0.42,2.33,37.04,2,3.43,1.00,1.01,1.01,2,0.58,0.50,0.54,2,,,,,
103,  TN395,"September 29, 2021",13:41:47,"September 29, 2021",6:41:47, 48 16.30 N, 123 59.27 W,48.27,123.99,132,8,2,30.38,30.12,9.31,,2,,32.69,32.69,2,,25.26,,4.44,4.70,4.57,2,,4.94,,,4.94,,2,,7.75,,,,22.30,27.41,0.35,0.60,2.16,34.37,2,4.82,1.72,1.77,1.75,2,0.73,0.58,0.66,2,,,,,
104,  TN395,"September 29, 2021",13:43:49,"September 29, 2021",6:43:49, 48 16.30 N, 123 59.27 W,48.27,123.99,132,9,2,19.85,19.68,9.73,,2,,32.46,32.47,2,,25.02,,5.72,6.07,5.90,2,,6.32,,,6.32,,2,,7.83,,,,22.30,24.70,0.35,0.35,1.96,32.02,2,9.02,3.81,,3.81,2,1.05,,1.05,2,,,,,
105,  TN395,"September 29, 2021",13:45:16,"September 29, 2021",6:45:16, 48 16.30 N, 123 59.27 W,48.27,123.99,132,10,2,10.21,10.12,9.96,,2,,32.31,32.29,2,,24.86,,6.26,6.63,6.44,2,,,,,,,,,7.86,,,,22.30,,,,,,,10.47,,,,,,,,,,,,,
